IdProducto;DescripcionLarga;Clase ;Talla ;Color ;PrecioCosto;PrecioPublico1;Fracción ;Fab/Marca;IdProducto2;Cod Color; Vigencia Inicial;Grupo Destino
10164;AUDIFONOS BLUETOOTH F12 TIPO IPHONE;;;;40000;60000;;;10164;;;______________________
11921;AUDIFONOS PARA IPHONE NAISU;;;;17000;30000;;;11921;;;______________________
11938;BALAS TRAUMÁTICAS 9mm ÔZCURZAN;;;;90000;130000;;;11938;;;______________________
11920;BATERÍA IPHONE 6S;;;;35000;65000;;;11920;;;______________________
11937;BATERÍA PANASONIC SUPER HEAVY 9V;;;;5500;8000;;;11937;;;______________________
11885;CELULAR HUAWEI Y5 2019;;;;360000;430000;;;11885;;;______________________
11899;CELULAR KRONO NET TITAN 32GB;;;;220000;270000;;;11899;;;______________________
10169;DIADEMA INNOVALL MUSIC ATH023;;;;11900;25000;;;10169;;;______________________
10166;DIADEMA STEREO SOMAO SM-886;;;;7140;15000;;;10166;;;______________________
11939;FULMINANTE CALIBRE 22 MASTER;;;;28000;30000;;;11939;;;______________________
11926;PACHA PARA SAMSUNG A10S;;;;120000;185000;;;11926;;;______________________
10004;POWER BANK 15000 MAH UNITEC;;;;40000;65000;;;10004;;;______________________
10001;PRODUCTO DE PRUEBA;;;;650;1050;;;10001;;;______________________
11922;TÁCTIL PARA CELULAR ALCATEL U5 OT 4047;;;;20000;60000;;;11922;;;______________________
;;;;;;;;;;;;______________________
10093;ADAPTADOR AUDIO USB CHINO;;;;9520;15000;;;10093;;;______________________
10091;ADAPTADOR DE SONIDO USB ENTRADAS 2 AUDIOS Y 2 MICROFONOS;;;;23800;35000;;;10091;;;______________________
10092;ADAPTADOR DE SONIDO USB JALTECH;;;;26900;30000;;;10092;;;______________________
10148;BOART ASUS H81M-1150P INTEL;;;;249900;280000;;;10148;;;______________________
11033;CAJA DISCO DURO DE PORTATIL NICOLS USB 2.0;;;;26000;36000;;;11033;;;______________________
10082;CAJA DISCO DURO DE PORTATL NICOLS USB 3.0;;;;47600;60000;;;10082;;;______________________
11736;COMPUTADOR PORTATIL ASUS X415J;;;;1550000;1630000;;;11736;;;______________________
